iter	Logloss
0	0.6851207707
1	0.6765164226
2	0.6683204288
3	0.6609695331
4	0.654034673
5	0.6471321988
6	0.6407616025
7	0.6339589852
8	0.6274764911
9	0.6202487556
10	0.6144273719
11	0.60790507
12	0.6017002443
13	0.5958479278
14	0.5897007118
15	0.584453453
16	0.5785490802
17	0.5731108789
18	0.5677226579
19	0.5617669553
20	0.5566698451
21	0.5524833835
22	0.5473523302
23	0.5427260107
24	0.5385216953
25	0.5345108136
26	0.5292619459
27	0.523966679
28	0.5193072468
29	0.5152246384
30	0.5119349681
31	0.507763921
32	0.5029983002
33	0.498483048
34	0.4948234299
35	0.4910710653
36	0.4869997193
37	0.4830042521
38	0.4791027251
39	0.4759315958
40	0.4724469866
41	0.4690710574
42	0.4658541517
43	0.4634796454
44	0.4610856763
45	0.4583466718
46	0.4553912935
47	0.4528142189
48	0.4504158902
49	0.4472914715
50	0.4441773291
51	0.4412515861
52	0.4386943895
53	0.4363497779
54	0.4337288993
55	0.4307112402
56	0.4278016382
57	0.4254854942
58	0.4234574247
59	0.421432028
60	0.4189599485
61	0.4157625834
62	0.4138698967
63	0.4112525992
64	0.4092241145
65	0.4074826403
66	0.4052266231
67	0.4034113981
68	0.4017442716
69	0.3998031097
70	0.3975217651
71	0.3955730257
72	0.3938863067
73	0.3922396809
74	0.3903334222
75	0.3885926227
76	0.3874252735
77	0.3858255659
78	0.3847288015
79	0.3833009889
80	0.3819011766
81	0.3804006252
82	0.3786439441
83	0.3767307048
84	0.3747996635
85	0.3733956473
86	0.3719898406
87	0.3701608878
88	0.3683120831
89	0.3667967141
90	0.3647985653
91	0.3631227714
92	0.3613301491
93	0.3597283655
94	0.3581862677
95	0.356811731
96	0.3559689165
97	0.3549033184
98	0.3535711068
99	0.352299022
100	0.35143402
101	0.3501483113
102	0.3491855543
103	0.3477891416
104	0.3468124493
105	0.3455591526
106	0.3444410052
107	0.3432844772
108	0.3421686653
109	0.341204507
110	0.3398964551
111	0.3388540047
112	0.337345772
113	0.336406604
114	0.3355778285
115	0.3349255932
116	0.3339301907
117	0.3327373323
118	0.331367337
119	0.3305574793
120	0.3296616742
121	0.329050129
122	0.3281303717
123	0.3272874793
124	0.3265583791
125	0.3258109579
126	0.3252674544
127	0.3246728028
128	0.3235304437
129	0.3226758996
130	0.3215115865
131	0.3206621806
132	0.3197005136
133	0.3191528839
134	0.3180049455
135	0.3170529839
136	0.3160602284
137	0.3153120806
138	0.3147223855
139	0.313774057
140	0.3130203039
141	0.312101974
142	0.3112181579
143	0.3105460705
144	0.3097572067
145	0.3090157022
146	0.3081008755
147	0.3073277895
148	0.3066858824
149	0.3060452208
150	0.3051711361
151	0.3044402972
152	0.30376289
153	0.3029305854
154	0.3021340403
155	0.3016876428
156	0.3011480837
157	0.300650668
158	0.3001234353
159	0.2994917266
160	0.2988633655
161	0.2982658853
162	0.297509667
163	0.2967652301
164	0.2961009538
165	0.2954942612
166	0.29479913
167	0.2941654231
168	0.2936251893
169	0.2932335471
170	0.2925203025
171	0.2919040083
172	0.2914899969
173	0.2909652295
174	0.2904874581
175	0.2898116858
176	0.2891427384
177	0.2887254832
178	0.2881586503
179	0.2874518673
180	0.2867194455
181	0.2861039298
182	0.2855294675
183	0.2850072952
184	0.2849492183
185	0.2843196895
186	0.2836232088
187	0.2828954061
188	0.2821953443
189	0.2816291082
190	0.2810780532
191	0.2804536365
192	0.2798810167
193	0.2795025572
194	0.2789584309
195	0.2785693577
196	0.2779941429
197	0.2774592289
198	0.2767986116
199	0.2761813832
200	0.2756214272
201	0.2752541523
202	0.2748823101
203	0.2744575293
204	0.2738014792
205	0.2731519427
206	0.2726414739
207	0.2721040687
208	0.2716852305
209	0.271229958
210	0.2706561964
211	0.270030093
212	0.2694977222
213	0.2689765359
214	0.2684941194
215	0.2680882045
216	0.267497134
217	0.2670310144
218	0.2665205196
219	0.2660521682
220	0.2655520017
221	0.2650998433
222	0.2644912564
223	0.2641619209
224	0.2636432777
225	0.2631893028
226	0.2625633811
227	0.2620240815
228	0.2614491002
229	0.2610900775
230	0.2606699159
231	0.2599541281
232	0.259604759
233	0.2591621762
234	0.2586051785
235	0.2581101761
236	0.2576551892
237	0.2571237785
238	0.2567630949
239	0.2561742562
240	0.255747062
241	0.2552996785
242	0.2550290166
243	0.2545063771
244	0.2540713459
245	0.2535351604
246	0.2531445821
247	0.2527592198
248	0.2522457927
249	0.2519526319
250	0.2514767809
251	0.2510538426
252	0.2506845695
253	0.2502023606
254	0.2498335546
255	0.2493880914
256	0.2490914792
257	0.2489071801
258	0.2483594466
259	0.2479066914
260	0.2475975192
261	0.2472246131
262	0.2467116791
263	0.2463129783
264	0.2459234121
265	0.2454976971
266	0.2450616538
267	0.2448117782
268	0.24426965
269	0.2438867011
270	0.2434575347
271	0.2429990704
272	0.2423743423
273	0.2419835564
274	0.241371051
275	0.2411871411
276	0.2408984437
277	0.2403426397
278	0.2397462235
279	0.2393966467
280	0.2393023952
281	0.2390075476
282	0.238560735
283	0.23826978
284	0.2379370709
285	0.2376265234
286	0.2371412524
287	0.2366730826
288	0.2364000074
289	0.2360629127
290	0.2356701027
291	0.2351739844
292	0.2347670056
293	0.2343469737
294	0.2340054674
295	0.2335405415
296	0.2331853854
297	0.2327455015
298	0.2322609311
299	0.2318609069
300	0.2316384867
301	0.231355732
302	0.2311237621
303	0.2305383488
304	0.2302079493
305	0.2299474599
306	0.2297369769
307	0.2293653164
308	0.229087622
309	0.2288282745
310	0.2284066856
311	0.2281493622
312	0.2277661278
313	0.2275066246
314	0.2273664929
315	0.2269726448
316	0.2266521065
317	0.2263447768
318	0.2260308817
319	0.2256956036
320	0.2253550834
321	0.2248597697
322	0.2244786113
323	0.224058294
324	0.2237773558
325	0.2235152575
326	0.2231924355
327	0.222577906
328	0.2223264733
329	0.2220233736
330	0.221843434
331	0.2212697762
332	0.2208150747
333	0.2206059151
334	0.2204162442
335	0.2201914885
336	0.2199272882
337	0.2196202959
338	0.2193544608
339	0.219011683
340	0.2187783897
341	0.2184367018
342	0.2181474076
343	0.2177499525
344	0.217354236
345	0.2170411194
346	0.2167875199
347	0.2165657225
348	0.2161560188
349	0.2158403461
350	0.2156073382
351	0.2152846979
352	0.2150816755
353	0.2149127908
354	0.2146408963
355	0.2142834566
356	0.2140150265
357	0.213603117
358	0.2132392935
359	0.2128285129
360	0.2125901981
361	0.2122631981
362	0.2118330196
363	0.2114842214
364	0.2112747504
365	0.210963087
366	0.2105084504
367	0.2101526585
368	0.2099030813
369	0.2096389459
370	0.2094323943
371	0.2091486405
372	0.2089031764
373	0.2085226928
374	0.2082540551
375	0.2077963044
376	0.2073215303
377	0.2071517892
378	0.2069532693
379	0.2067373886
380	0.2063541023
381	0.2059286208
382	0.2056060583
383	0.2052596215
384	0.2049816936
385	0.2047204387
386	0.2043913368
387	0.2040867968
388	0.2038317181
389	0.2034978542
390	0.2033487956
391	0.2030887215
392	0.2028062003
393	0.2025235234
394	0.2023115223
395	0.2020349308
396	0.2019987171
397	0.2016585733
398	0.2014647763
399	0.2012049487
400	0.2008959452
401	0.2006137874
402	0.2003769129
403	0.2001217433
404	0.1998627851
405	0.1996503298
406	0.1993897886
407	0.1991845475
408	0.1989908413
409	0.1985661124
410	0.1983870422
411	0.1980541255
412	0.1978805179
413	0.1975762633
414	0.1973151382
415	0.1970700374
416	0.1967098859
417	0.1965299074
418	0.1962985344
419	0.1960936825
420	0.1957960583
421	0.1955342974
422	0.1952212587
423	0.1948808034
424	0.194671579
425	0.1944666622
426	0.1941400255
427	0.1938861146
428	0.1936771626
429	0.1932853906
430	0.1929204253
431	0.1925870545
432	0.1922854728
433	0.1920264886
434	0.1917874732
435	0.1916167201
436	0.1912841537
437	0.1909913692
438	0.1906945365
439	0.1903844042
440	0.1901141186
441	0.1898906474
442	0.1894289912
443	0.1891190406
444	0.1888629239
445	0.188672695
446	0.1884716579
447	0.1881191228
448	0.1877503428
449	0.1875199169
450	0.1872690032
451	0.1869611935
452	0.1866478433
453	0.1863170027
454	0.1860314454
455	0.1856699055
456	0.1853207828
457	0.1851492642
458	0.1849128308
459	0.1847575441
460	0.1845167251
461	0.1842586751
462	0.1840977961
463	0.1838300796
464	0.1835863671
465	0.1833411625
466	0.1832226604
467	0.1830104257
468	0.1827781703
469	0.1825538817
470	0.1822156582
471	0.1819852842
472	0.1817316068
473	0.1816269881
474	0.1814635919
475	0.1812310121
476	0.1809539406
477	0.1808012099
478	0.1806485183
479	0.1803762605
480	0.1801750027
481	0.179915266
482	0.1795879675
483	0.1795038625
484	0.1793024491
485	0.1790139075
486	0.1788878927
487	0.1787282074
488	0.178478721
489	0.1782963422
490	0.1780130296
491	0.1778964996
492	0.1775735479
493	0.1773274221
494	0.177047457
495	0.1768271388
496	0.1766002292
497	0.1763300085
498	0.1760520676
499	0.1758903062
500	0.1756540675
501	0.1753869868
502	0.1750246295
503	0.1748339984
504	0.1745971109
505	0.1743393204
506	0.1741669064
507	0.1739936362
508	0.1736853723
509	0.1735912764
510	0.1732330063
511	0.1729748265
512	0.172748371
513	0.1724768658
514	0.1722446883
515	0.1719676297
516	0.1716679294
517	0.1715037158
518	0.1712751583
519	0.171155696
520	0.1710007856
521	0.1707314472
522	0.1704448908
523	0.1703104032
524	0.1701270642
525	0.1697671981
526	0.1696122877
527	0.1693828609
528	0.1691273281
529	0.1689698875
530	0.1688205174
531	0.1687088402
532	0.1685169765
533	0.1682329243
534	0.167974511
535	0.1677817779
536	0.1675306177
537	0.1673575421
538	0.1672017104
539	0.1669451785
540	0.1666564941
541	0.1663606864
542	0.1661555491
543	0.1658978624
544	0.1658362434
545	0.1656465206
546	0.1654458338
547	0.1652318085
548	0.1650234923
549	0.1648046143
550	0.1645883703
551	0.164510714
552	0.1642844401
553	0.1640323457
554	0.1638342929
555	0.1635359161
556	0.1632655267
557	0.1630046611
558	0.1628348941
559	0.1626846158
560	0.1625018996
561	0.1622035228
562	0.1620344175
563	0.161692016
564	0.1615555432
565	0.1614401292
566	0.161197299
567	0.1609553772
