iter	Logloss
0	0.6865706763
1	0.6828142926
2	0.6788682728
3	0.6759647336
4	0.6728996757
5	0.6664876251
6	0.6609750831
7	0.6572202583
8	0.6542118185
9	0.6514461809
10	0.6477987961
11	0.6439101108
12	0.6411709695
13	0.638855394
14	0.6353131845
15	0.6316938954
16	0.6285485341
17	0.6234475576
18	0.6197726234
19	0.615815194
20	0.6121937119
21	0.6092819692
22	0.6060304406
23	0.6037874202
24	0.5991573025
25	0.5966328071
26	0.5934130376
27	0.5883975685
28	0.5860946673
29	0.580692469
30	0.5776158435
31	0.5747889557
32	0.5720273536
33	0.5700899385
34	0.5677341703
35	0.5656030096
36	0.5626453144
37	0.5610005076
38	0.5562243942
39	0.554541676
40	0.5525558775
41	0.5507918129
42	0.5488111349
43	0.5471744204
44	0.5447143026
45	0.5424415223
46	0.5405474365
47	0.5373094267
48	0.5356714177
49	0.53426983
50	0.5324112728
51	0.5314439746
52	0.5298000408
53	0.5287402213
54	0.5264972874
55	0.5249541874
56	0.5227513803
57	0.5208391206
58	0.5197205309
59	0.5178273063
60	0.5162293335
61	0.5150625987
62	0.5133050752
63	0.5113429124
64	0.5100852662
65	0.5084182003
66	0.5069216353
67	0.5053267243
68	0.5038137246
69	0.5017919619
70	0.5005255437
71	0.4974887872
72	0.4927209386
73	0.4906906574
74	0.4894702078
75	0.488784454
76	0.4868455377
77	0.4846956783
78	0.4826372777
79	0.4817373539
80	0.4797264263
81	0.4782974633
82	0.4774776135
83	0.4759236796
84	0.4746508063
85	0.473454447
86	0.4723773277
87	0.4710851669
88	0.4696479212
89	0.4685513292
90	0.4674987203
91	0.4665469718
92	0.4655378937
93	0.4635603261
94	0.4624408213
95	0.4612777284
96	0.4599930681
97	0.4593803763
98	0.4586101576
99	0.4574538272
100	0.4549882303
101	0.4542392991
102	0.4528687981
103	0.4517272841
104	0.4498352516
105	0.4489654465
106	0.4478664798
107	0.4469509317
108	0.4457766698
109	0.4450232191
110	0.4442499698
111	0.443488323
112	0.4418358359
113	0.4404210971
114	0.4396921338
115	0.4378822601
116	0.4370891556
117	0.4363019938
118	0.4358159108
119	0.4346000731
120	0.4325303845
121	0.4310690138
122	0.430317999
123	0.429645998
124	0.4290086802
125	0.4285690973
126	0.4271831236
127	0.4264025655
128	0.4256207999
129	0.4249929551
130	0.4241080187
131	0.4230792968
132	0.4214617295
133	0.4206540858
134	0.4197696785
135	0.418903337
136	0.4171886672
137	0.4164737433
138	0.4158772379
139	0.4150879278
140	0.4142045483
141	0.4130531496
142	0.4120597768
143	0.4114517065
144	0.4102859214
145	0.409567519
146	0.4085883028
147	0.4077158632
148	0.4067009842
149	0.4056827364
150	0.4052612973
151	0.4042255685
152	0.4034159106
153	0.4030126781
154	0.4020885446
155	0.4015268145
156	0.400317701
157	0.3996063996
158	0.398724754
159	0.3979596147
160	0.3970892788
161	0.3964621406
162	0.3957977416
163	0.3951984555
164	0.394659709
165	0.3939170062
166	0.3931185017
167	0.3916690849
168	0.3910281876
169	0.3892161985
170	0.3885054089
171	0.387654354
172	0.3869157691
173	0.3862727365
174	0.3858120169
175	0.3850232726
176	0.3834970257
177	0.3829655586
178	0.3824243587
179	0.3805795436
180	0.3800622837
181	0.3795787876
182	0.3790763911
183	0.3775912986
184	0.376934991
185	0.3753944877
186	0.3748000184
187	0.3740929579
188	0.3734833413
189	0.3727424992
190	0.3717802159
191	0.3711363532
192	0.3704270685
193	0.3696481672
194	0.3689065664
195	0.3683212414
196	0.3676091284
197	0.3666007265
198	0.365757979
199	0.3654940224
200	0.3648409277
201	0.3645161943
202	0.3630469031
203	0.3623178695
204	0.3617037739
205	0.3608455073
206	0.3604539167
207	0.359953576
208	0.3595964704
209	0.3591882745
210	0.3588693403
211	0.35775065
212	0.3570303907
213	0.3563854587
214	0.3559639929
215	0.3554771266
216	0.35478443
217	0.354396301
218	0.3540850735
219	0.3536017204
220	0.3530098981
221	0.3521582002
222	0.3514823243
223	0.3508114895
224	0.3502143047
225	0.3498912487
226	0.3494443195
227	0.3485488665
228	0.3478992047
229	0.3474090255
230	0.3457958552
231	0.3452316486
232	0.3447356582
233	0.3441728198
234	0.3436657454
235	0.3427238115
236	0.3414779148
237	0.340011353
238	0.339468052
239	0.3391315804
240	0.3386338316
241	0.3381620049
242	0.337754863
243	0.3372324812
244	0.3368750199
245	0.3366008988
246	0.3360117605
247	0.3355876901
248	0.3349294201
249	0.3343235324
250	0.3339988137
251	0.3326640781
252	0.3320053349
253	0.331514499
254	0.330980956
255	0.3301483564
256	0.3289808351
257	0.3285079411
258	0.3280813286
259	0.326745842
260	0.3263312516
261	0.325565653
262	0.3249814547
263	0.3245558918
264	0.3241642116
265	0.323571472
266	0.3232974902
267	0.3229060692
268	0.3220806621
269	0.3211409499
270	0.3206931056
271	0.3203825769
272	0.3200786908
273	0.3198149346
274	0.3194471728
275	0.3191590081
276	0.3188190326
277	0.3180951428
278	0.3176803203
279	0.3172926994
280	0.3169410733
281	0.3163446886
282	0.315818785
283	0.3154434653
284	0.3150205301
285	0.3145973975
286	0.3141528212
287	0.3138126616
288	0.3135613042
289	0.3131046298
290	0.3121013022
291	0.311708171
292	0.3111127267
293	0.310641871
294	0.3102146916
295	0.3097002027
296	0.3093123848
297	0.3089914774
298	0.3085763827
299	0.3073573115
300	0.3069918501
301	0.3066837168
302	0.3063186161
303	0.3058320171
304	0.3053920715
305	0.3051391126
306	0.3047945542
307	0.3043050076
308	0.3036746314
309	0.3031110841
310	0.3023248129
311	0.3020167265
312	0.301665594
313	0.3013011612
314	0.3008223449
315	0.2995469007
316	0.2986847991
317	0.2982196418
318	0.2978270289
319	0.2970450701
320	0.2964119173
321	0.2960571953
322	0.2954614487
323	0.295056123
324	0.294673792
325	0.2939310594
326	0.2934406042
327	0.2930690988
328	0.292301437
329	0.2917883654
330	0.2906935351
331	0.2903373694
332	0.2900339942
333	0.2897771473
334	0.2892893454
335	0.2889532686
336	0.288544739
337	0.2883428083
338	0.287898129
339	0.2871430945
340	0.2868844917
341	0.2865629254
342	0.2860824458
343	0.2856918399
344	0.2852278254
345	0.2848804937
346	0.284598343
347	0.2838652123
348	0.2836752988
349	0.2830785822
350	0.2827882481
351	0.2822647813
352	0.2817045386
353	0.2808233275
354	0.2804295812
355	0.2801332346
356	0.2797765312
357	0.2795425594
358	0.2791957662
359	0.2787344055
360	0.2785208588
361	0.2779249215
362	0.2774776764
363	0.2768216109
364	0.2765391615
365	0.2761051073
366	0.2759083316
367	0.2755346063
368	0.2751048416
369	0.2748031538
370	0.2743423581
371	0.2740477273
372	0.2738740132
373	0.2734974523
374	0.2731732633
375	0.272768247
376	0.2723259182
377	0.2718320605
378	0.2714531914
379	0.2711307099
380	0.2707763074
381	0.2701268265
382	0.2697475113
383	0.2691981418
384	0.2686724811
385	0.2681367847
386	0.2676611425
387	0.2671114291
388	0.26655276
389	0.2660383807
390	0.2653951329
391	0.2646538215
392	0.2642758262
393	0.2639824606
394	0.2637869535
395	0.2633936494
396	0.263017565
397	0.2623702526
398	0.2620072378
399	0.2614171196
400	0.2607836971
401	0.2604160638
402	0.2599982046
403	0.2591862661
404	0.2585794844
405	0.2579551494
406	0.2577163059
407	0.2571594268
408	0.2567149043
409	0.2561210757
410	0.2553951287
411	0.2547152791
412	0.2542076304
413	0.2538550865
414	0.2533332101
415	0.2529272305
416	0.2522138461
417	0.2517646942
418	0.2515190808
419	0.2511454406
420	0.250786004
421	0.2503164592
422	0.2496851747
423	0.249041555
424	0.2485825083
425	0.2480633394
426	0.2476237313
427	0.2467747685
428	0.2463746175
429	0.2460065386
430	0.2455297656
431	0.244859822
432	0.2444771846
433	0.2440662874
434	0.2433559044
435	0.2427155176
436	0.2423460933
437	0.2417164376
438	0.2414782622
439	0.2410309082
440	0.2404872938
441	0.2394770404
442	0.2390341948
443	0.2385085168
444	0.2379867075
445	0.2371407003
446	0.2363142591
447	0.2358477589
448	0.2353800743
449	0.2351844669
450	0.2344887347
451	0.2336647698
452	0.2325869015
453	0.2320292404
454	0.2315836807
455	0.2311180726
456	0.2305598341
457	0.2298767669
458	0.2294407454
459	0.229194451
460	0.2283896453
461	0.2280165037
462	0.2271736651
463	0.226305461
464	0.2255120207
465	0.225109126
466	0.2243915787
467	0.2239055108
468	0.2232209095
469	0.2223892655
470	0.2218225884
471	0.2212357419
472	0.2205385191
473	0.2201608183
474	0.2196116277
475	0.2191398947
476	0.2185667008
477	0.217648463
478	0.2173539655
479	0.2169331396
480	0.2164191072
481	0.2153910547
482	0.2149306686
483	0.2142497162
484	0.213821735
485	0.2130994302
486	0.2125143168
487	0.2117723459
488	0.2114687892
489	0.2108045811
490	0.2103315825
491	0.2100088223
492	0.2093492926
493	0.2085884154
494	0.2079067765
495	0.2073957293
496	0.206968026
497	0.2066445616
498	0.2060624905
499	0.2055168517
500	0.2048670893
501	0.2041231377
502	0.2037856417
503	0.2029742091
504	0.2024958936
505	0.2020286158
506	0.2015036479
507	0.2010912879
508	0.2004467088
509	0.1999261322
510	0.1992291869
511	0.1985767546
512	0.1979900443
513	0.197457955
514	0.1968156713
515	0.1959988002
516	0.1954054612
517	0.1949081703
518	0.1944988968
519	0.1939112698
520	0.1932854442
521	0.1927892446
522	0.1923378668
523	0.1917976982
524	0.1910792762
525	0.1903891844
526	0.1896978426
527	0.1890355037
528	0.1882246208
529	0.187977685
530	0.1873187786
531	0.1867864806
532	0.1863977433
533	0.1858308084
534	0.1852666699
535	0.1847557649
536	0.1842929156
537	0.183663551
538	0.1829804474
539	0.1826942361
540	0.1824986307
541	0.1821508609
542	0.1816142997
543	0.1809551257
544	0.1802953958
545	0.1798978193
546	0.1792539209
547	0.1787267974
548	0.1780517804
549	0.1775266692
550	0.177189731
551	0.1766580284
552	0.1761706268
553	0.1756687357
554	0.1752217188
555	0.1746886373
556	0.1743004438
557	0.1739141101
558	0.1731504172
559	0.1726347977
560	0.1722841088
561	0.1717484715
562	0.1713834694
563	0.1710047511
564	0.1706276567
565	0.1699576272
566	0.1693656339
567	0.16895704
568	0.1687798998
569	0.1680557915
570	0.1676092435
571	0.1672337659
572	0.1667880865
573	0.166021039
574	0.1655505906
575	0.1650081285
576	0.1644639715
577	0.1640218769
578	0.1635558759
579	0.1630926729
580	0.1625010963
581	0.1621843234
582	0.1617715123
583	0.1614636855
584	0.1607164645
585	0.1603488502
586	0.1597722709
587	0.1592309948
588	0.1587979499
589	0.158590026
590	0.1582462466
591	0.1578168461
592	0.157529743
593	0.1568750623
594	0.1565074919
595	0.1561037636
596	0.1556151342
597	0.155175447
598	0.154751043
599	0.1542916765
600	0.1538597189
601	0.1533939504
602	0.1531378324
603	0.1529850069
604	0.1527553372
605	0.1523293315
606	0.1519929758
607	0.1515806453
608	0.1513242994
609	0.1511101678
610	0.1507415202
611	0.1504001053
612	0.1497976406
613	0.1495249077
614	0.1490499883
615	0.1487140075
616	0.1483162156
617	0.1480691113
618	0.147722131
619	0.1472917976
620	0.1469416354
621	0.1464300009
622	0.1459547339
623	0.1455445796
624	0.1452424423
625	0.1447608733
626	0.1443033295
627	0.1437576139
628	0.1434298845
629	0.1430454355
630	0.1427164346
631	0.1423326584
632	0.1417821654
633	0.1415538512
634	0.140997595
635	0.1407410455
636	0.1404432852
637	0.1400107368
638	0.1396706565
639	0.1392481868
640	0.1389726483
641	0.1386592813
642	0.1382893355
643	0.1379398423
644	0.1376844169
645	0.1372361344
646	0.136995729
647	0.1366179775
648	0.1362363497
649	0.1358392791
650	0.1351826765
651	0.1347307327
652	0.1343993942
653	0.1341177106
654	0.1337101665
655	0.1333548821
656	0.1329835764
657	0.1328000866
658	0.1324727934
659	0.1320897139
660	0.13171162
661	0.1311852167
662	0.1308257668
663	0.1304214964
664	0.1301481759
665	0.1298590066
666	0.1295540871
667	0.1291916249
668	0.1287455865
669	0.1283869002
670	0.1279129377
671	0.1276341499
672	0.1274447922
673	0.1272253697
674	0.1268617931
675	0.1266742986
676	0.1264284624
677	0.1260524574
678	0.1257204231
679	0.1255417364
680	0.1251970932
681	0.1248541068
682	0.1245716957
683	0.1242770963
684	0.1240315219
685	0.1237314234
686	0.1234036754
687	0.12321476
688	0.1226386698
689	0.1224341427
690	0.1221828504
691	0.1218138527
692	0.1215577663
693	0.1212759464
694	0.1210018698
695	0.1206485625
696	0.120304908
697	0.1200165637
698	0.1197528697
699	0.1195040695
700	0.119267174
701	0.1189724387
702	0.1187621925
703	0.1184614331
